title,comment,user,reviewdate,rating,type,upvotes
Not worth it!,"There's a lot of hype for Abhishek Thakur - valid point because he is a 4x GM. But his delivery style is not suited for beginners. Most of what you will find in this book,will be available in other places. (freely available) I would suggest if you are a beginner - spend on something like a Jeremy Howards FastAI course or other ML courses, which will help you learn. This book is also highly priced and not value for money.",Aakash,2021-05-05,1.0,Unverified,0
It's awesome,"This book is great for intermediate students not good for beginners. Contains lots of code ( I think this is best way to learn ), even easy code staments (like Importing statement, defining simple functions etc) are there in book which is not good I think.",Dhruv,2021-04-29,5.0,Verified,0
One of the Best Books for ML,"I have been reading this book, for quite some time now. The book is really amazing if you are someone who practically wants to try out some data science problems and how to best approach real-world scenarios. One thing that helped me gain some more interest in the book, is to read it from the last chapters to the first. Some of the pretty exciting topics like Transformers, RNNs, Image Classification, Feature Selection, Hyperparameter Optimizations are very well written and really helpful to understand. Kudos to Abhishek for writing such an amazing book!",Ramit Surana,2021-04-27,5.0,Verified,0
BEST VALUE FOR MONEY,"this should be enough ""I had its pdf version and read it completely. After completing it I got the inspiration and motivation to must have a hard copy of it and hence I bought it"". I rarely buy books as I read more articles and soft-books if I not watching videos on the topic.",Abhishek,2021-04-09,5.0,Verified,0
Very helpful book indeed,This is an excellent reference for maintaining and creating structure of your machine learning projects along with detailed examples and explanation of various ML algorithms. Love this purchase thus.,Vinay Chaturvedi,2021-04-07,5.0,Verified,0
Looks like a fake copy,There is no publisher information and edition. No mrp. The page and print quality is very bad. Certainly a fake copy. the image on one side is visible from on the other side.,Pravallika,2021-04-04,1.0,Verified,0
Practical and Step-By-Step,Great book! Very practical and easy to understand. Please ensure you know the basics of Python and ML before starting with this book.,Ankit,2021-02-21,5.0,Unverified,0
Excellent book !,The book can be used by anyone in the world of data science. You may be a novice or may be a pro but this book has one or other to offer for everyone. Amazing stuff !,Atul,2021-02-21,5.0,Verified,0
A very good practical book on Machine Learning,"If you are a practitioner of ML, I'd suggest you buy this book. The author doesn't go extremely deep into the theory behind most of the algorithms. As the name states, this book is very practical. It is focused on DOING more than LEARNING. As far as the book the page quality is very nice too, and they have a glossy finish.",Misal,2021-02-14,5.0,Verified,0
Title doesn t match the content,Didn t explain much.. its collection of notes,Sentiboy,2021-01-25,1.0,Verified,0
"Overhyped, overpriced book","Honest review: 1. If you are already 'truely' working in this field for a couple of years, you don't need it. 2. Overpriced, shouldn't be priced more than ~ 300 bucks 3. The page quality is substandard given such a price. 4. It can be of use only for beginners with some 3-6 months practical knowledge.",rajdeep banerjee,2021-01-22,3.0,Verified,0
A masterpiece,"A must read for people serious about machine learning. I have been doing machine learning projects for a while now and I am a self taught person in the field of data science and machine learning. I have gone through various tutorials on various platforms and this book houses almost everything in an organised way whatever I have learnt till now and even more. Very well written and explained on how to implement all your theoretical knowledge into working application. After all, this is the whole objective of the book. However, the author has already mentioned but I would like to reiterate that this is not a book for complete beginners into the field of machine learning and it expects some basic understanding of ML concepts. So please come back and get a copy of this for yourself for sure once you are equipped with the fundamentals of ML in order to do justice with the book and yourself as well. At last thanks to the author for writing this book. It s really a great help.",Mohit Srivastava,2021-01-11,5.0,Verified,One
Best approach into explaining end-to-end concepts,"Book is full of practical approach we take towards most of the ML problems, easy to understand but mostly helpful for intermediate level developers",Ujwal,2021-01-11,5.0,Verified,One
The content of the book,"This book isn't a great start for beginners as the entire process of Machine Learning, Deep Learning, Natural language processing and somewhat docker containers are explained in 300 pages, but for a intermediate or an experienced this could be a great book. It has all sort of tricks and tips on what to use when and how.",Amazon Customer,2020-12-29,5.0,Verified,One
The most elaborate cheat sheet,"Abhishek s book completely debunk the saying Those who can,do; those who can t teach . Abhishek was able to demystify most of the contents which I had a hard time grasping. If anyone is looking for a code first approach book this is the one. Cons: It s only 300 pages :p",Amazon Customer,2020-12-22,5.0,Verified,One
Must read,Must read for any Data science students,Amazon Customer,2020-12-19,5.0,Verified,One
Excellent book on Machine Learning for intermediate learners,"Instead of beating around the bush, the writer delves straight into python implementation and the focus is on getting hands dirty with code. This book is not for beginners but for people who have some intermediate knowledge on Machine Learning.",Saurabh Bagchi,2020-11-11,5.0,Verified,One
Great book by Abhishek Thakur,"Great book by Abhishek Thakur which goes into practical detail, very well written for practicing AI Engineers as well as for for people new in this field. Thank you for this amazing contribution to the world of ML Ajay Taneja",A. Taneja,2020-10-30,5.0,Verified,One
The way Explanation with codes.....loved it!!!,I read many books but the way abhisheksir is Approaching different methods and techniques is hard to find in other books. If you beginners than it will be little tricky. I liked the most is giving example on real life dataset(similar to real life situation) which Generally not found easily.,Ravirajsinh,2020-10-30,5.0,Verified,One
Good and concepts explained very well,Very nice book for ML enthusiasts those already have read about basic concepts. Straight to the point and concepts are made very clear with explanation of why the line of code is improving accuracy or performance of the model.,Peeush Agarwal,2020-10-20,5.0,Verified,One
Must have,Awesome book. This is exactly what I needed after going through a lot of theories through online courses. Worth every penny.,Amazon Customer,2020-10-08,5.0,Unverified,One
Worth reading,One of the best book for ML practitioners.,Tufail waris,2020-10-04,5.0,Verified,One
Nice,Good and very helpful for all for excellent learning. Keep learning and use the technic for better Carrier thanks for giving.,Siva,2020-09-28,5.0,Unverified,0
Best Book,Must book to know the ideal approach for machine learning problems. Price is also affordable. Received as per schedule. Good packing.,RSM,2020-09-27,5.0,Unverified,One
Nice book,"Nice book, covers all basic concepts related to machine learning. A person without any prior knowledge can also read and learn easily",Pragya,2020-09-27,5.0,Unverified,One
"Awesome Book,must read !!",This is the best book for an practical approach in ML. I would suggest these to people who have an prior experience in ML and would like to see how it's used in ML ML cases,abhinav,2020-09-27,5.0,Unverified,0
Amazing book,"This book is good to start if you are a beginner to data science field and have basic coding experience. Instead of taking multiple online/offline courses, learn basics and get started with this book and try to do own projects.",Sai Harish,2020-09-26,5.0,Unverified,0
Disappointed with black and white color papers,"Disappointed With black and white papers. Please make it to color. Most of the figure can be understand if the papers are in color, but the content is good",laxman,2020-09-25,4.0,Verified,0
Great Book : This book is a practical guide to machine learning,This book is exactly what it claims . It is approach to almost any kind of machine learning problem . The book has a very practical approach towards problem solving and has tones of code . The book is intended to people who knows a bit of background and struggles to start problem solving . The book was and is very helpful for me in day to day life and hence the 5 stars . I want to be clear in the review so that people dont get disappointed after buying the book or refrain from buying the book seeing few negative reviews . The book is immensely helpful for senior professionals like me who are from other branches of software engineering /domain knowledge and still wants to reduce the entry level barrier to get into machine learning and deep learning The book is immensely helpful for students from programming/non-programming background looking to learn and solve AI/ML problems and are scared to venture into it . The book is immensely helpful for people with a lot of theoretical knowledge but less programming knowledge to apply the same into some cool project . The book is not helpful for people who has a masters in mathematics and looking for reference in writing phd thesis in Machine Learning methods .,POORNIMA,2020-09-23,5.0,Verified,One
Must Have book in your library,"Amazingly written in approaching any machine learning problem. I have seen and read lot of books which talks about all the algorithms (from mathematical to intuition point of view), but no one gave me a clear view on how we can approach any dataset and build good models from the data. The flow of chapters are perfect and in the end you will learn a lot on building the ML models. I think it is a must book like how Tibshirani and Trevor's book (Introduction to Statistical Learning) is must for every beginner to pro. Thanks to Abhishek for writing this gem of a book. Looking forward for more of his works in the future on Deep learning & NLP.",Sai,2020-09-23,5.0,Verified,One
Must Buy for serious learners,"First of all I like the intention of Abhishek to seriously help those who want to upgrade themselves. The code is very clean and helps to understand the complex concepts easily. The books covers Machine Learning, Feature Engineering, Deep Learning, NLP and teaches as how to approach any machine learning task, how to handle different modules of the project so that same code can be reused easily for other projects.",Nagender,2020-09-22,5.0,Verified,One
Curative collection of some Kaggle kernel..Not worth buying,Just a curative collection of GitHub and kaggle. Not worth buying. Simply person can find everything on kaggle or .,Badal,2020-09-22,1.0,Unverified,3
"No Maths, not for beginners but lots of code",It is a great book if you are aware of the basic mathematics behind machine learning algorithms. It is not maths or theory based but it is a code-first approach based and I think it is a better way of entering into ML world. Start writing efficient and industry standard code alongside learning.,Kindle Customer,2020-09-22,5.0,Verified,One
"Lacks depth, rigor and full of mistakes","One of my friends decided for recommendation for an ML book for beginners. As I was reviewing several other books that fall under this spectrum, I decided to give this one a try. Much to my dismay, this book fails to fulfil the objective the author might have had before writing this book. He tries to compensate for the lack of rigor and clear mathematical exposition with random blocks of generic code. There are better alternatives if one is looking for a beginner friendly text that doesn't compromise on quality.",Abhijit Gupta,2020-09-22,1.0,Unverified,2
Easy to pick up concepts..super understandibility of code,The book is awesome.. Super understandability of code snippets..easy to pick up concepts..plain English..,Mani Teja,2020-09-22,5.0,Verified,0
"It's exactly as advertised, loved it!!!","***A must for every Data Science enthusiast*** The book gives you an in-depth analysis of the process of building an ML model and data analytics. The book is well structured, lots of code, hands-on practice and simple-precise explanations of various concepts.",keshav,2020-09-17,5.0,Unverified,0
Amazing,"Amazing Book , must read , it is just like a shared experience, not like college textbook , highly informative!",Himanshu,2020-09-14,5.0,Verified,One
Great way to start practicing machine learning,Abhishek has given us a fantastic way to start on a journey of machine learning. Read this book if you want practical approaches to solving real life challenges and problems,Sharath,2020-09-14,5.0,Unverified,One
Just read this in coronakaal and be real data problem solver,It's totally worth it for all data science students or learners or employees who are doing cooking in this coronakaal. Just buy this and read your every single penny and time will be monetize while you will be in a interview or in project. Today I have received and learnt 2 news things with this book however just read 3.5 pages. Thanku Abhishek,Shivam bhadoriya,2020-09-14,5.0,Verified,One
Perfect book for coders who are interested in ML,Every chapter in this book directly brings you to the point with no unnecessary history and stuff. If you're are already familiar with the concepts you can straight away get what are the best practices to be followed in ML.,Amazon Customer,2020-09-13,5.0,Verified,2
Most helpful book,Best book on topic Explain very well Easy to understand Really worth of money Must buy So from my side 5 star ,venkatesh mishra,2020-09-13,5.0,Unverified,One
A must read for any Data Scientist,"I was pleasantly surprised by this book. I was tired of all books related to machine learning talking about the same theoretical concepts and using the same examples. But using this book Abhishek Thakur has done something great. He has used real-world problems as examples and has taken us through the journey to actually go ahead and implement these concepts for our selves. In his own words ""If you didn't code, you didn't learn."" And you do need to get your hands dirty to make full use of this book and the time dedicated by the author on it. I highly recommend this book to any aspiring as well as seasoned data scientists.",Rajdeep Pal,2020-09-13,5.0,Unverified,One
"Not worth its value, the author's hype is high.","The book isn't worth purchasing, it's not the quality of content or print of the book that's selling, it's just the hype of the author which made the book a bestseller. It's just a collection of his notes with a not soo good printing.",Siva,2020-09-11,1.0,Verified,3
Worth your time and money,The book is a great start for beginners. It starts with the basics and explains the important concepts one must know in great detail. Not many books have the code. This book is a rare piece . Go for it !,N. J.,2020-09-09,5.0,Unverified,One
Chase knowledge through the pages of dis book,Abhishek has written an amazing book to truly demystify the coding of ML in a reader friendly manner to get one's coding strong and solid! Highly recommended to have this as a great reference any time if you are a fan of this fast growing area of Artificial Intelligence,Shivam Singh,2020-09-09,5.0,Unverified,One
"mlframework , learning along with code,","After reading couple of chapters, today i am writing my own review on this book. If you have basic understanding of #machinelearning and #deeplearning you can go through the book without even single thought. The best part I personally like it that you will learn conecept ,code and ml framework at same time. This books teach you about ml framework and various techniques like #featureengineering #featureselectionn , hyperparameter optimization. The codes are written perfectly and in such a way that it develops a great habit of writing good quality code for any",Uttam,2020-09-07,5.0,Unverified,0
MUST TRY,This book is very useful Im a beginner in machine learning and this book helped me very much in understanding the advanced machine learning techniques everyone must try :),Shreyas,2020-09-06,5.0,Unverified,0
Excellent!!!!!!,"Great book for data Engineers, Data scientists and AI lovers......Still in the midst of going through the entire book in kindle version but in love with it so far....I am hopeful it wont disappoint me the next halfway......",Satyajeet Paul,2020-09-06,5.0,Unverified,0
Nothing New and Nothing Important,We can get every thing which is covered in this Book in Free in every where . in Kaggle or some of the GitHubs . Nothing Explained . Totally disappointed.,Gunukula Ravichandra,2020-09-06,1.0,Verified,3
I love this book,"I love this book, thank you Abhishek, The book is well organized, very clear easy to understand.",Kishor,2020-09-05,5.0,Verified,0
Nothing less than expected.,"Not diving much into teaching machine learning, but teaches you all the best practices about organising a project, organising and training data and being efficient. Delivered on everything promised :) love it",Amazon Customer,2020-09-02,5.0,Unverified,0
"Concise, Beginner Friendly textbook that follows a Code first approach","I prefer ebooks over hardcopy... * REVIEW * . . In this book Abhishek Thakur explains core concepts related to machine learning in simple pragmatic manner. This 300 page book follows a code first approach to machine learning which makes it look pretty much like an extended jupyter notebook, which is obviously a good thing. I would like to recommend this book to each and every person who wishes to start competing in kaggle competitions.",Shikhar Shukla,2020-08-31,5.0,Verified,0
Recommended book if you are struggling in Data science,"Waiting for your next book ""Approaching (Almost) Any NLP Problem"". Arranging machine learning projects and Approaching categorical variables are the best chapters of this book. Now I don't have to spend much more time on coding as this book has clean code snippets which one can refer to. And can give more time to concepts and analytics.",Meh l,2020-08-29,5.0,Unverified,One
A cheatsheet not worth to buy,If your goal is to learn then this book is not for you. This book is good if you want to use the code to rank higher in kaggle. I would say this is a new kind of book where only thing is code. Would have been a lot better if it was shared on github. I think author's only intention was just to publish a book. His initial YouTube videos are good. Just go to his channel and watch those videos.,Ved,2020-08-28,2.0,Verified,3
Great book for improving ML/AI skills.,"Its a perfect balance between code and explanation , loved the book throughout it , felt sad when it ended so fast. @abhishek looking for more such books in the future. ",Naveen,2020-08-28,5.0,Unverified,0
A must have for a beginner,"A must have book for anyone starting in ML domain by an author who has got his hands dirty on data sets. Its feels like all his blogs and tricks and learning experiences has been captured in one place. also in order to prevent boredom some of the tips are given as exercise to do on your own but with clear guidelines what and why to do. Everyone says there are like 15 must known algorithms to know in ML however no one tells why we do cross validation , normalization and when to do what. This book captures those must haves pretty well for a starter to get a good foot hold in ML and then explore the topics further. In the end the book captures the ML prediction pipeline pretty well which enables anyone to get a good foothold in ML.",Amrinder Singh Bedi,2020-08-24,5.0,Unverified,0
Well written and informative on applied machine learning,I like this book very much because of the way the author presented the contents. A must buy for who wants to learn applied part of machine learning,Y SRINIVASA RAO,2020-08-23,5.0,Verified,0
A must read for ML enthusiasts and Data scientist,This book delivers a great practical knowledge and implementation in machine learning. It includes code to implement and understand the concepts which you have learned in machine learning courses.,Rudraksh,2020-08-18,5.0,Verified,One
This book will definitely increase your ML productivity,"It deserve a 5 star review, you are fresher or experienced that doesn't matters. this book will definitely increase your ML productivity.",Richa Singhai,2020-08-17,5.0,Unverified,0
Excellent book for person who want write code in kaggle,Book is really help ful to understand the concept of machine learning in an easy way.,sarath kumar,2020-08-17,5.0,Verified,0
Best book on practical machine learning,Best book on practical machine learning I know so far. It focuses on practical implementation rather than complex theories behind. Worth every penny.,Jaseem,2020-08-17,5.0,Unverified,One
book review,book is okish,surinder,2020-08-16,3.0,Unverified,One
Bumps up your Machine Learning Knowledge,"very Well recommended for intermediate ML Engineer A Decade Experience shared by abhishek to drive this century ,Almost filled Dots.",dharmendra kumar,2020-08-15,5.0,Verified,One
Not worth buying at the given price point,"The content of the book can not justify the price. Instead of being an authoritative book on the subject, it feels as if the author is talking and not giving concrete explanation for any topic. Very superficial and absolutely not worth the hype. I'd rate it 2 out of 10. Avoid at all costs",Anoop,2020-08-11,1.0,Unverified,3
very good,very good,tanuj sharma,2020-08-10,5.0,Unverified,One
An outstanding effort at simplifying ML for practitioners. And absolutely value for money.,"I ve known Abhishek Thakur through his YouTube channel on ML and frankly I wasn t surprised with the level of clarity this book has to offer. It demystifies ML problems at a molecular level which is immensely helpful for practitioners or even for folks trying out at Kaggle competitions. The codes are very fundamental and easy to understand, the pipeline is replicable and fungible as well. For those who re looking to excel at kaggle competitions or better yet exploring a career in ML - this would serve as a strong foundational platform. Also at this price point - I really don t see any other book in the market with such level of conceptual clarity and usability. The book pretty much stands true to its title - you can approach almost any ML problem with it.",Saurav,2020-08-08,5.0,Verified,One
Wonderful Book on Machine Language,An oustanding book.machine learning aspirants will get alot of help from this book.A must buy . I assign five stars as technic and code are explained in detail and yet in so simple way.kudos to the author for this beautiful piece. Informative and explainatory book. Highly recommend it to practitioner or learning aspirants.,Manisha,2020-08-08,5.0,Unverified,One
Excellent Code Heavy book,"I have been following Abhishek's work in Kaggle for few years and he is one among the brilliant problem solvers in data science space.He always tries to share his knowledge with others and this is evident from his kaggle kernels and youtube videos.This book is another addition to this and stays true to its description - deals with applied machine learning starting from regression to docker containers.All the concepts are practical in nature and I am using it as a reference material for my day to day job and tackling kaggle competitions.The ML pipeline used by him is reproducible and flexible for any ML tasks.I would recommend this book to those who are considering a career in ML and want to learn best practices in organizing your projects and code. In one of the youtube videos,Abhishek mentions that contributing a small amount to the courses taught by experts like Andrew Ng is a small way of showing our respect towards them .I did the same by buying this book for Abhishek.Thank you Abhishek and I look forward to your upcoming books as well.Keep sharing your knowledge to the world.",gsd,2020-08-02,5.0,Verified,One
A practical approach to learn machine learning.,"This book will deep dive into practical approach of learning machine learning, which is missing in most of the ML books.",Ashish,2020-07-31,5.0,Verified,One
Kindle Version | Good Reference for Practical Application | *Theory Knowledge or Reference Required,"I have some years of exp so for me this is a quick refresher and also learnt something new. If I was beginner I would use this book +Jupyter notebook (can't just read the code :-) ) , in addition take courses which explain concepts. Overall does justice to the title.",Rajesh,2020-07-30,4.0,Unverified,One
Best Book for Practical ML,this book explains all the important aspects of Practical Machine Learning. Someone who is looking forward to a career in ML and Data Science domains(which is flourishing rapidly) and have basics knowledge about ML and looking forward to learn and solve Practical ML problem must get a copy of the book.,Aditya Kumar Mishra,2020-07-28,5.0,Unverified,One
A must read book for those who want to excel in data science career,"Pre order the kindle version of this book. Have gone through 1/3 of the book so far and i am enjoying the book. This may not be a good book for the beginners, as author assume that the reader know fair bit of the ML concepts. Compared to other data science books, this book is wild to say the least. This will be definitely makes you Data Science competition ready . This will give you a solid foundation to enter a competition.",chetan,2020-07-27,5.0,Verified,One
Worth Reading!!!,"If you are already in Machine learning stream this book gives you how to apply the algorithms,some best techniques and practices while applying..Worth reading and implementing the code.",Nikhil,2020-07-26,5.0,Unverified,One
Just what the doctor ordered !,"This book is unique in terms of the complete hands-on approach it takes. It helps you build up a very ready-to-use and reusable framework for solving Machine learning problems. Abhishek shows you how to build a framework to tackle tabular, image, and text data in his book. It is completely code-driven - you need to have some understanding of Machine Learning and Python if you want to make the most. The author basically wants you to code all the way from the start - there is no accompanying GitHub repository for you to copy the code from :). I think while this is immensely useful for a lot of people, it could have benefited some people who have some advanced knowledge. In general - I highly recommend this book for anyone who is a student(learner) of Data Science, Machine Learning. You will be glad you purchased it.",Prasad Nageshkar,2020-07-26,5.0,Unverified,One
Highly Recommended,This book written by a legendary Kaggle competitor is filled with great practical knowledge and code examples ( in python ) for approaching machine learning problems. The material is explained simply and clearly. Upon reading through the book I quickly began filling in gaps in my knowledge.,Rohan J.,2020-07-23,5.0,Unverified,One
Great book to get started with ML.,Its a nice bridge between the knowledge part and the applied part of ML. The codes are simple to understand with the help of comments. The book also helped in understanding your Youtube tutorials and vice-versa. The book has really got me started on approaching problems on Kaggle. Looking forward to future books in the series.,Varun,2020-07-22,5.0,Verified,One
The best book for ML,Amazing book. Summarises the concepts in a very succinct manner. Must read for any ML enthusiast,Amazon Customer,2020-07-21,5.0,Verified,One
Not a good book,Not worth for the money Would suggest to go through youtube than this book,Akshay,2020-07-21,1.0,Unverified,2
Worth the buy!,"Contains a lot of things to learn from. When are the next two books coming out? Can't wait for them. Thanks, Abhishek_thakur for sharing your knowledge.",Amit Kumar Parida,2020-07-21,4.0,Unverified,One
Great applied book,"Great book for people with basic understanding of data science. Covers essential topics like handling categorical data, hyperparameter tuning, evaluation metrics in a practical sense.",Rohit,2020-07-20,5.0,Unverified,One
Excellent Book,What a book from Master. Every ML Engineer should read it. It improved my confidence to face Hackathon's. Thank You Abhishek Ji.,maheswarareddy,2020-07-20,5.0,Verified,One
Excellent work done,Very nice book and we'll placed . Came to know how write a code to organized manner As a fresher very much usefull,Syamkumar Jerra,2020-07-20,5.0,Unverified,0
Best Guide For machine learning,Wonderful book for anyone to get the grisp and hands on machine learning algorithms,Arbaz Khan,2020-07-19,5.0,Verified,0
Short and Concise,"Contains only useful part required for programmers: The code + some background + some exercises(you will get to know about them while following the tutorials) Directly up to the point, no Extra long Intros or OTHER useless things(at least to programmers everything besides code is useless) Just get the book and get started Eagerly waiting for ""Approaching (Almost) Any Computer Vision Problem""",@synked,2020-07-19,5.0,Verified,One
"Good book, liked the content.Very much helpful for people who want to get hands on ML code easily.","Some of the code snippets are really good and more of generalized, thank you very much for writing this book.",vishwa,2020-07-18,4.0,Verified,One
Intuitive and highly practical approaches to tackling ML today concised in one book!,Loved the book till now! Gets directly into the nitty-gritty and it's very resourceful! Definitely recommend it!,umarm2691,2020-07-18,5.0,Verified,One
Kindle cloud reader not supported; Indian cost is too much.,"First of all, this is not content rating. I bought kindle version, tried to read over desktop , tried to download but did not work. I had to return the purchase. Book cost is too much in India, can not afford to buy it.",Vijay,2020-07-18,1.0,Unverified,2
Helps you build your own framework,"If you are looking for a book that will help you out in competitive machine learning, you have come to thw right place. The book includes a lot of material that can only otherwise be found after going through a lot of notebooks on Kaggle.",Quadeer Shaikh,2020-07-18,5.0,Verified,0
Very Nice book for ML and DL enthusiast,I have started reading this book and I found it is a good mix of theory and application. I would recommend every Ml/DL enthusiast to read it as it will sharpen your skills,Kapil,2020-07-18,5.0,Unverified,0
The perfect book for practice,"The best thing i like about this book is, the step by step guide to a problems and there solutions, usually i prefer videos tutorial over books but this book is 'Worth a shot' GREAT WORK GRAND MASTER",nain,2020-07-18,5.0,Unverified,0
Cut through the clutter - mostly code no mathematics,"Approaching (Almost) Any Machine Learning Problem by Abhishek Thakur - An advanced guide to Machine learning concepts with coding examples - This book is for people with at least 1-year experience in machine learning - The book explains all the relevant topics for solving any machine learning problem including feature engineering & selection, metric selection, model parameter optimization, etc - To extract the full benefit, the reader must understand the maths, advantages, and disadvantages of various machine learning algorithms - The book doesn't dive deep into image or text related algorithms but it provides a great foundation for different types of solutions/ algorithms available This book gave me clarity on how to set up my machine learning projects for production. This book, unlike others available in the market, cuts through the clutter and gets right to the core (code). It doesn't go deep into the concept but goes deep into the code and its implementation. Also, there is a special gift (in terms of the library) by the author that I just love. I am still exploring the library and I'm lovin it so far.",Rahul Agarwal,2020-07-17,5.0,Unverified,0
Amazing book :),Amazing book!! Best book for practical Machine learning. Worth reading ..,Surbhi,2020-07-16,5.0,Verified,One
Best book I ever read in AI,To the point explanation with best practices in AI... The best book I ever read in AI,naga pavan kumar,2020-07-16,5.0,Verified,0
Best book for applied ML!,"I just completed first 2 chapters of this book, and can very confidently say that this is one of the best books on Applied ML. Abhishek Thakur - author of this book is really supportive in clearing any doubts in the book (if any) Thank-you so much Abhishek for putting all your knowledge into this book! An Introduction to Statistical Learning: with Applications in R book + Approaching (Almost) Any Machine Learning Problem book is a killer combo in my opinion. Will further update my review once I complete the book.",Rohit Dhamija,2020-07-15,5.0,Verified,0
Great book!!,This book explains concepts from a practical-first perspective. I am a practicing Data Scientist and learnt a lot from this book. Highly recommended.,Nitish Kumar Thakur,2020-07-15,5.0,Unverified,0
Best book to start machine learning,The emphasis given on coding rather than thoery which if you already are aware makes it one of the best books for machien learning.,Mithun,2020-07-15,5.0,Unverified,0
Best book for all applied ML/DS folks,"I covered half of the book at the time of writing this review. There are lot of books available in the market to understand theoretical aspects in machine learning, but never come across any book with a code-centric approach, until I get this one. I was amazed by the kind of coding knowledge / practices shared by the author. 'Approaching (Almost) Any Machine Learning Problem', true to it's name, is a pure coding book to all machine learning problems. To enjoy this book, I feel, one should have a theoretical understanding of the concepts and basic to intermediate knowledge on python coding.",Kindle Customer,2020-07-14,5.0,Verified,One
Comprehensive & Detailed coverage to approaching any Machine learning problem in a simplistic manner,The book sets up background for easy approach to Machine learning problems. This is a worth buying as it will help build fundamentals to coding and make you ready for more tougher and challenging problems. I am very appreciative about the content and the flow of the chapters. Problems and solutions described are a good case studies. The coverage in the book is detailed and comprehensive. Would recommend this book to every Data science lovers.,Ajay kumar,2020-07-13,5.0,Verified,One
A must-read book,"A great book for beginners as well as intermediates. Also, a keep-it-handy book for experts.",Rudra Desai,2020-07-12,5.0,Verified,One
A Grand book from the first 4X Grandmaster,Excellent book. It is cleanly written and the blocks of code provided with the theory is useful.,Tushar Roy,2020-07-12,5.0,Verified,One
A must read book.,This book was the perfect set of training wheels for me. A must read book to all the Data Science aspirants.Thanks to the author.,Manoj Kumar,2020-07-12,5.0,Verified,One
Marvelous book with furture proof,Machine learning Book written in the way it has to be It is very clear ,Harika subhash,2020-07-11,5.0,Verified,One
"Practical examples,.liked it","If you want to skip all the generic jargons and get straight to business, this is it! This book gives practical examples from actual problem statements and I found it very helpful!",Pranav,2020-07-11,5.0,Unverified,0
Must buy. Essential text book for ML,"One of the most realistic practical application for ML. I am grateful for the book and the author who due to hard work managed to bring this book to light. Although it's more of practical implementation and would require some knowledge of ML and python beforehand, the flow is such that you'll understand the theory from the practical implementation. Very interesting to read and implementing the code side by side will give loads of practice and understanding. I recommend this book to all Data Science and Machine learning aspirants!",Anjali Ramesh,2020-07-11,5.0,Unverified,One
Total value for money,Thank you Abhishek. It's a great book with cheap price. Total value for money.,jitender singh,2020-07-11,5.0,Verified,0
A good read!,Its a different book. The author has taken the code first approach which is very different from traditional books. I like this no nonsense approach.,Laksh,2020-07-11,5.0,Unverified,One
GREAT,GREAT BOOK INDEED...!,Sudeshna roy,2020-07-11,5.0,Unverified,One
